x	year	congress	chalspend	incspend	difflog	presvote	voteshare	inparty	incparty	seniority	midterm	chalquality	south	population	urban	age65	milpop	unemployed
1	1956	84	NA	NA	NA	0.654305458	0.619255066	1	0	5	0	1	0	12.51914099	12.23922208	10.14760951	4.564348191	8.753845093
2	1956	84	NA	NA	NA	0.631923199	0.599996209	1	0	2	0	1	0	12.82431577	12.69875161	10.40520179	4.997212274	9.12858787
3	1956	84	NA	NA	NA	0.637323678	0.614503622	1	0	5	0	1	0	14.51229113	14.25930881	12.08267827	8.793763759	10.75479166
4	1956	84	NA	NA	NA	0.62160176	0.590491354	1	0	4	0	0	0	12.67175759	11.95983317	10.35548631	8.689632748	8.845201135
5	1956	84	NA	NA	NA	0.701858938	0.6871261	1	0	3	0	1	0	13.13100989	12.97372647	10.66424665	5.18178355	9.372714291
6	1958	85	NA	NA	NA	0.654305458	0.462021232	1	0	6	1	1	0	12.51914099	12.23922208	10.14760951	4.564348191	8.753845093
7	1958	85	NA	NA	NA	0.580859065	0.456589252	1	0	1	1	1	0	13.19869644	12.98825582	10.69183127	5.438079309	9.441452093
8	1958	85	NA	NA	NA	0.637323678	0.439622343	1	0	6	1	0	0	14.51229113	14.25930881	12.08267827	8.793763759	10.75479166
9	1958	85	NA	NA	NA	0.701858938	0.490944475	1	0	4	1	1	0	13.13100989	12.97372647	10.66424665	5.18178355	9.372714291
10	1958	85	NA	NA	NA	0.631923199	0.43777442	1	0	3	1	1	0	12.82431577	12.69875161	10.40520179	4.997212274	9.12858787
11	1958	85	NA	NA	NA	0.62160176	0.467108995	1	0	5	1	1	0	12.67175759	11.95983317	10.35548631	8.689632748	8.845201135
12	1960	86	NA	NA	NA	0.57470274	0.550993919	0	1	1	0	1	0	12.51914099	12.23922208	10.14760951	4.564348191	8.753845093
13	1960	86	NA	NA	NA	0.537306547	0.539753139	0	1	1	0	1	0	14.51229113	14.25930881	12.08267827	8.793763759	10.75479166
14	1960	86	NA	NA	NA	0.588808	0.584580123	0	1	1	0	0	0	13.19869644	12.98825582	10.69183127	5.438079309	9.441452093
15	1960	86	NA	NA	NA	0.466049254	0.483193338	0	1	1	0	1	0	13.13100989	12.97372647	10.66424665	5.18178355	9.372714291
16	1960	86	NA	NA	NA	0.550068736	0.549105465	0	1	1	0	1	0	12.82431577	12.69875161	10.40520179	4.997212274	9.12858787
17	1964	88	NA	NA	NA	0.682742655	0.67302233	1	1	3	0	1	0	12.67276455	12.37526252	10.42925105	5.153291594	8.907883014
18	1964	88	NA	NA	NA	0.657048702	0.638966143	1	1	3	0	0	0	13.04164994	12.91132378	10.71479548	6.546785411	9.083642719
19	1964	88	NA	NA	NA	0.728856325	0.699679136	1	1	3	0	1	0	13.44380174	13.26032544	11.0417051	6.771935556	9.530320211
20	1964	88	NA	NA	NA	0.695105433	0.632658124	1	1	1	0	0	0	12.92858201	12.21156752	10.59950561	9.240481529	8.927844826
21	1964	88	NA	NA	NA	0.381704241	0.481893688	0	0	2	0	1	0	13.39023399	13.25121207	11.02229455	5.993961427	9.286930974
22	1964	88	NA	NA	NA	0.700059295	0.587468147	1	1	1	0	1	0	15.43894368	15.19456225	13.09237828	10.12262308	11.47845824
23	1966	89	NA	NA	NA	0.695105433	0.565422654	1	1	2	1	1	0	12.92858201	12.21156752	10.59950561	9.240481529	8.927844826
24	1966	89	NA	NA	NA	0.618295789	0.509577036	1	1	2	1	1	0	13.08597944	13.02072482	10.71874174	5.874930731	8.968141414
25	1966	89	NA	NA	NA	0.682742655	0.590628147	1	1	4	1	1	0	12.91045646	12.69581763	10.60022827	5.398162702	9.077951184
26	1966	89	NA	NA	NA	0.657048702	0.561345458	1	1	4	1	0	0	12.92316338	12.80818947	10.59620964	6.50578406	8.930626469
27	1966	89	NA	NA	NA	0.728856325	0.58467406	1	1	4	1	1	0	12.95457411	12.85222779	10.6045781	6.137727054	8.935640334
28	1966	89	NA	NA	NA	0.700059295	0.493688643	1	1	2	1	1	0	12.90966756	12.46679325	10.5148551	6.075346031	9.104979856
29	1968	90	NA	NA	NA	0.531144679	0.563150764	1	1	5	0	1	0	12.91045646	12.69581763	10.60022827	5.398162702	9.077951184
30	1968	90	NA	NA	NA	0.457974643	0.479342878	1	1	3	0	1	0	13.08597944	13.02072482	10.71874174	5.874930731	8.968141414
31	1968	90	NA	NA	NA	0.462757498	0.622877181	0	0	1	0	1	0	12.90966756	12.46679325	10.5148551	6.075346031	9.104979856
32	1968	90	NA	NA	NA	0.532233894	0.543791354	1	1	3	0	1	0	12.92858201	12.21156752	10.59950561	9.240481529	8.927844826
33	1968	90	NA	NA	NA	0.514615476	0.559836805	1	1	5	0	0	0	12.92316338	12.80818947	10.59620964	6.50578406	8.930626469
34	1968	90	NA	NA	NA	0.598613977	0.626141787	1	1	5	0	1	0	12.95457411	12.85222779	10.6045781	6.137727054	8.935640334
35	1970	91	NA	NA	NA	0.514615476	0.563107908	0	1	6	0	0	0	12.92316338	12.80818947	10.59620964	6.50578406	8.930626469
36	1970	91	NA	NA	NA	0.531144679	0.552842438	0	1	6	0	1	0	12.91045646	12.69581763	10.60022827	5.398162702	9.077951184
37	1972	92	NA	NA	NA	0.59971869	0.65938729	1	0	2	0	0	0	12.92858201	12.21156752	10.59950561	9.240481529	8.927844826
38	1972	92	NA	NA	NA	0.418848336	0.601914406	0	1	1	0	0	0	12.90966756	12.46679325	10.5148551	6.075346031	9.104979856
39	1972	92	NA	NA	NA	0.48573634	0.576057017	0	1	1	0	0	0	12.95457411	12.85222779	10.6045781	6.137727054	8.935640334
40	1972	92	NA	NA	NA	0.378389448	0.48816821	0	1	7	0	1	0	12.91045646	12.69581763	10.60022827	5.398162702	9.077951184
41	1972	92	NA	NA	NA	0.381036311	0.532751739	0	1	7	0	1	0	12.92316338	12.80818947	10.59620964	6.50578406	8.930626469
42	1972	92	NA	NA	NA	0.628675699	0.630846143	1	0	1	0	1	0	13.08597944	13.02072482	10.71874174	5.874930731	8.968141414
43	1974	93	NA	NA	NA	0.621610522	0.512381017	1	0	1	1	1	0	13.13293926	12.88301168	10.76660955	5.402677382	9.016998312
44	1974	93	NA	NA	NA	0.381036311	0.674458504	0	1	8	0	0	0	13.13289374	13.01847955	10.82071784	5.513428746	8.928242678
45	1974	93	NA	NA	NA	0.628675699	0.540675104	1	0	2	1	0	0	13.1330382	13.09545251	10.83645839	5.669880923	8.883085524
46	1974	93	NA	NA	NA	0.48573634	0.635668457	0	1	2	0	0	0	13.13314109	13.02972822	10.87242766	5.934894196	8.819960901
47	1976	94	NA	NA	NA	0.50122869	0.656238675	0	1	1	0	0	0	13.13328947	12.38377522	10.69986799	9.555276687	8.926650321
48	1976	94	NA	NA	NA	0.562197387	0.670070887	1	0	2	0	1	0	13.13293926	12.88301168	10.76660955	5.402677382	9.016998312
49	1976	94	NA	NA	NA	0.477426559	0.568590403	0	1	1	0	0	0	13.13296894	12.68782264	10.71617179	5.793013608	9.010180657
50	1976	94	NA	NA	NA	0.464619637	0.557042539	0	1	9	0	0	0	13.13289374	13.01847955	10.82071784	5.513428746	8.928242678
51	1976	94	NA	NA	NA	0.526778221	0.577213228	0	1	3	0	0	0	13.13314109	13.02972822	10.87242766	5.934894196	8.819960901
52	1976	94	NA	NA	NA	0.565923333	0.622126102	1	0	3	0	0	0	13.1330382	13.09545251	10.83645839	5.669880923	8.883085524
53	1978	95	11.67654576	12.24663283	0.570087066	0.526778221	0.602361381	1	1	4	1	0	0	13.13314109	13.02972822	10.87242766	5.934894196	8.819960901
54	1978	95	11.62038694	12.49135567	0.870968727	0.565923333	0.583636761	0	0	4	0	1	0	13.1330382	13.09545251	10.83645839	5.669880923	8.883085524
55	1978	95	12.3055695	12.73225897	0.426689465	0.464619637	0.592257798	1	1	10	1	0	0	13.13289374	13.01847955	10.82071784	5.513428746	8.928242678
56	1978	95	10.548434	12.50499726	1.95656326	0.50122869	0.699222386	1	1	2	1	0	0	13.13328947	12.38377522	10.69986799	9.555276687	8.926650321
57	1978	95	12.10365666	12.76171224	0.658055573	0.477426559	0.641978264	1	1	2	1	0	0	13.13296894	12.68782264	10.71617179	5.793013608	9.010180657
58	1980	96	12.48744053	12.83441194	0.346971407	0.590193868	0.625770986	0	0	5	0	0	0	13.1330382	13.09545251	10.83645839	5.669880923	8.883085524
59	1980	96	10.74022434	12.28765357	1.547429225	0.540762007	0.630411804	1	1	5	0	0	0	13.13314109	13.02972822	10.87242766	5.934894196	8.819960901
60	1980	96	12.26936195	12.25096572	-0.018396232	0.44754675	0.592014611	1	1	3	0	0	0	13.13296894	12.68782264	10.71617179	5.793013608	9.010180657
61	1980	96	11.42090466	12.45438089	1.033476235	0.38585645	0.503653467	1	1	1	0	1	0	13.13293926	12.88301168	10.76660955	5.402677382	9.016998312
62	1982	97	13.02984889	13.08303753	0.053188643	0.56523627	0.495303154	1	0	1	1	0	0	13.13289374	13.01847955	10.82071784	5.513428746	8.928242678
63	1982	97	12.36669843	12.88988341	0.523184976	0.393425226	0.588732064	0	1	2	0	1	0	13.13293926	12.88301168	10.76660955	5.402677382	9.016998312
64	1982	97	12.34429298	12.93767222	0.593379236	0.602333486	0.568428695	1	0	6	1	0	0	13.1330382	13.09545251	10.83645839	5.669880923	8.883085524
65	1982	97	13.05595023	13.57111512	0.515164887	0.452241719	0.561811388	0	1	1	0	0	0	13.13328947	12.38377522	10.69986799	9.555276687	8.926650321
66	1984	98	10.31247179	13.10086615	2.78839436	0.470947593	0.619304121	0	1	2	0	0	0	13.15431156	13.03128921	11.56657997	5.81711116	9.311090275
67	1984	98	13.52830554	14.02485291	0.496547371	0.410714865	0.527105808	0	1	1	0	1	0	13.15915229	13.03808571	11.54800299	5.634789603	9.593491702
68	1984	98	12.69190166	13.4666578	0.774756138	0.330959469	0.455700159	0	1	3	0	1	0	13.1590771	12.91536873	11.42940254	5.393627546	9.354613861
69	1984	98	10.00001015	13.14233401	3.142323851	0.634673178	0.703939497	1	0	7	0	0	0	13.15884766	13.12134686	11.53302217	5.298317367	9.327412044
70	1984	98	11.19345717	13.47374507	2.280287908	0.390898287	0.54618907	0	1	2	0	1	0	13.15808567	12.5568281	11.36069461	9.476620038	9.46070991
71	1984	98	12.79418868	13.44252401	0.648335331	0.629000306	0.639831066	1	0	1	0	0	0	13.15608051	12.74746336	11.47519244	5.85220248	9.31766895
72	1986	99	12.877704	13.43633754	0.558633549	0.634673178	0.535409927	1	0	8	1	1	0	13.15884766	13.12134686	11.53302217	5.298317367	9.327412044
73	1986	99	10.88855372	13.20809028	2.319536568	0.629000306	0.641754627	1	0	2	1	0	0	13.15608051	12.74746336	11.47519244	5.85220248	9.31766895
74	1986	99	9.177175147	13.11582222	3.938647071	0.470947593	0.745036185	0	1	3	0	0	0	13.15431156	13.03128921	11.56657997	5.81711116	9.311090275
75	1986	99	12.3404427	14.04954024	1.70909754	0.390898287	0.67384547	0	1	3	0	0	0	13.15808567	12.5568281	11.36069461	9.476620038	9.46070991
76	1986	99	12.9961707	13.20822669	0.212055985	0.669040501	0.608905494	1	0	1	1	0	0	13.1590771	12.91536873	11.42940254	5.393627546	9.354613861
77	1986	99	9.815449974	13.49658985	3.681139876	0.410714865	0.696456671	0	1	2	0	0	0	13.15915229	13.03808571	11.54800299	5.634789603	9.593491702
78	1988	100	12.58730995	13.66850436	1.081194408	0.491232604	0.636181653	0	1	4	0	0	0	13.15808567	12.5568281	11.36069461	9.476620038	9.46070991
79	1988	100	9.522399125	13.23429712	3.711897992	0.556025386	0.772442758	0	1	4	0	0	0	13.15431156	13.03128921	11.56657997	5.81711116	9.311090275
80	1988	100	11.07695544	13.00699896	1.93004352	0.59219873	0.736386895	1	0	2	0	1	0	13.1590771	12.91536873	11.42940254	5.393627546	9.354613861
81	1988	100	10.92034409	12.99903462	2.078690528	0.572316647	0.726165771	1	0	1	0	0	0	13.15884766	13.12134686	11.53302217	5.298317367	9.327412044
82	1988	100	11.93698659	13.06820282	1.131216228	0.536013067	0.665807307	1	0	3	0	0	0	13.15608051	12.74746336	11.47519244	5.85220248	9.31766895
83	1988	100	11.83291257	13.30642893	1.473516368	0.495993853	0.664928317	0	1	3	0	1	0	13.15915229	13.03808571	11.54800299	5.634789603	9.593491702
84	1990	101	8.517193191	12.98532663	4.468133443	0.556025386	0.714029431	0	1	5	0	0	0	13.15431156	13.03128921	11.56657997	5.81711116	9.311090275
85	1990	101	11.17621136	12.96361967	1.78740831	0.572316647	0.765622973	1	0	2	1	0	0	13.15884766	13.12134686	11.53302217	5.298317367	9.327412044
86	1990	101	10.07922121	13.3006925	3.221471283	0.536013067	0.743703008	1	0	4	1	1	0	13.15608051	12.74746336	11.47519244	5.85220248	9.31766895
87	1990	101	11.70496798	13.11959517	1.414627195	0.491232604	0.59705013	0	1	5	0	0	0	13.15808567	12.5568281	11.36069461	9.476620038	9.46070991
88	1992	102	11.85110339	13.83474145	1.983638064	0.589386642	0.50798285	0	1	6	0	1	0	13.15808567	12.5568281	11.36069461	9.476620038	9.46070991
89	1992	102	12.75177495	13.36723711	0.615462163	0.542283475	0.583759069	1	0	1	0	1	0	13.1590771	12.91536873	11.42940254	5.393627546	9.354613861
90	1992	102	12.41911333	13.83740022	1.418286887	0.557717443	0.656787336	0	1	1	0	1	0	13.15915229	13.03808571	11.54800299	5.634789603	9.593491702
91	1992	102	10.57049608	13.25347234	2.682976263	0.473403633	0.734437406	1	0	5	0	0	0	13.15608051	12.74746336	11.47519244	5.85220248	9.31766895
92	1992	102	10.28062177	12.8568628	2.576241029	0.502167046	0.715878367	1	0	3	0	0	0	13.15884766	13.12134686	11.53302217	5.298317367	9.327412044
93	1992	102	8.66077392	13.25836347	4.59758955	0.619570673	0.686830819	0	1	6	0	0	0	13.15431156	13.03128921	11.56657997	5.81711116	9.311090275
94	1994	103	11.52287479	13.2460695	1.723194713	0.473403633	0.669747889	0	0	6	0	0	0	13.21358704	12.65925433	11.23869912	6.244166901	9.490091074
95	1994	103	10.05949555	13.21448701	3.154991462	0.619570673	0.747361243	1	1	7	1	0	0	13.21399224	13.09331143	11.27117232	6.546785411	9.55640927
96	1994	103	8.517193191	12.93578558	4.418592384	0.502167046	0.757877529	0	0	4	0	0	0	13.21322915	13.16726026	11.23921204	5.700443573	9.697876898
97	1994	103	13.65179172	13.20564675	-0.446144966	0.542283475	0.534138322	0	0	2	0	1	0	13.21386084	12.96613287	11.16260174	5.365976015	9.588776808
98	1994	103	12.90832992	14.11288402	1.204554095	0.589386642	0.50006628	1	1	7	1	1	0	13.2582046	12.45563999	11.13159184	9.265112608	9.59539867
99	1994	103	8.968869496	13.33798481	4.369115312	0.557717443	0.634490013	1	1	2	1	0	0	13.21385537	13.06595809	11.28532198	6.246106765	9.629971336
100	1996	104	8.931160594	13.09309972	4.161939124	0.619570673	0.747978806	1	1	8	0	0	0	13.21399224	13.09331143	11.27117232	6.546785411	9.55640927
101	1996	104	12.84485603	13.86687075	1.022014717	0.589386642	0.533677459	1	1	8	0	1	0	13.2582046	12.45563999	11.13159184	9.265112608	9.59539867
102	1996	104	12.40588859	13.63262489	1.226736306	0.473403633	0.504873514	0	0	7	0	0	0	13.21358704	12.65925433	11.23869912	6.244166901	9.490091074
103	1996	104	8.517193191	12.84703485	4.32984166	0.557717443	0.716315031	1	1	3	0	0	0	13.21385537	13.06595809	11.28532198	6.246106765	9.629971336
104	1996	104	13.21664087	13.26408318	0.047442319	0.542283475	0.468549967	0	0	3	0	1	0	13.21386084	12.96613287	11.16260174	5.365976015	9.588776808
